name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Steam (lbs/hr),Electric (kW),
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-31 00:00:00,D,0.000000000,Steam,2024-06-29,324.906656250,1084.183555208,574.2666667,
PhysicalSciences.CW.FP/TONS,2024-04-01 00:00:00,D,83.467288541,Chilled Water,2024-06-30,428.582968750,1036.068181250,584.9364583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-01 00:00:00,D,70.361396875,Steam,2024-07-01,166.664738541,1203.490954166,597.09375,
PhysicalSciences.CW.FP/TONS,2024-04-02 00:00:00,D,74.914277083,Chilled Water,2024-07-02,208.290362105,1103.542534375,598.5260417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-02 00:00:00,D,1291.126464583,Steam,2024-07-03,317.531406250,1088.826858333,579.4520833,
PhysicalSciences.CW.FP/TONS,2024-04-03 00:00:00,D,75.785104347,Chilled Water,2024-07-04,452.081400000,1066.554460416,570.6572917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-03 00:00:00,D,1229.857032978,Steam,2024-07-05,525.335427083,1081.110076041,587.165625,
PhysicalSciences.CW.FP/TONS,2024-04-04 00:00:00,D,72.135642105,Chilled Water,2024-07-06,484.769052083,958.106228125,561.9083333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-04 00:00:00,D,1634.224239583,Steam,2024-07-07,367.209927083,963.578020833,546.190625,
PhysicalSciences.CW.FP/TONS,2024-04-05 00:00:00,D,67.511550000,Chilled Water,2024-07-08,417.338337209,1018.886963541,551.803125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-05 00:00:00,D,1863.666489795,Steam,2024-07-09,474.052520833,1053.907325000,547.65,
,,,,,2024-07-10,562.903541666,1048.347212500,560.6520833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-06 00:00:00,D,1579.284520833,Steam,2024-07-11,467.100239583,1076.264497916,572.1375,
,,,,,2024-07-12,407.052281250,1110.349760416,580.4020833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-07 00:00:00,D,1220.504945833,Steam,2024-07-13,413.091311827,968.260994791,586.1614583,
PhysicalSciences.CW.FP/TONS,2024-04-08 00:00:00,D,130.340863636,Chilled Water,2024-07-14,337.362822916,980.132732291,579.7770833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-08 00:00:00,D,1577.754562500,Steam,2024-07-15,480.039895833,1027.799840625,585.628125,
,,,,,2024-07-16,475.786572916,1064.198410416,587.25625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-09 00:00:00,D,1437.837291666,Steam,2024-07-17,469.970526315,1059.808351041,561.2145833,
,,,,,2024-07-18,344.443364583,1123.824382291,547.2125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-10 00:00:00,D,1292.850056923,Steam,2024-07-19,218.497258333,1102.642258333,559.934375,
,,,,,2024-07-20,221.163079347,1008.342347916,551.453125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-11 00:00:00,D,1447.043802083,Steam,2024-07-21,269.525378125,960.959962500,540.55625,
,,,,,2024-07-22,364.631343750,1017.075250000,566.7104167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-12 00:00:00,D,1379.318457291,Steam,2024-07-23,411.113723404,1083.806994791,578.2354167,
,,,,,2024-07-24,436.277427083,1086.862514583,577.5739583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-13 00:00:00,D,1290.405139583,Steam,2024-07-25,337.561644444,1085.001959375,566.446875,
,,,,,2024-07-26,230.717330208,1074.869266666,573.9197917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-14 00:00:00,D,1277.382481250,Steam,2024-07-27,208.087048958,976.972678125,591.6510417,
,,,,,2024-07-28,254.576302083,963.789936458,596.3916667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-15 00:00:00,D,1472.500842708,Steam,2024-07-29,337.009156250,1074.309161458,606.7395833,
,,,,,2024-07-30,490.093916666,1077.562397916,585.5052083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-16 00:00:00,D,1409.142647916,Steam,2024-07-31,509.609687500,1073.143153125,551.86875,
,,,,,2024-08-01,484.423894736,1067.043604166,552.35625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-17 00:00:00,D,1303.133617708,Steam,2024-08-02,498.689687500,1065.619780208,575.0666667,
,,,,,2024-08-03,455.777270833,1020.584430208,551.2333333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-18 00:00:00,D,1169.905563541,Steam,2024-08-04,458.702552083,963.872737500,535.7739583,
,,,,,2024-08-05,395.697375000,1084.478680208,552.675,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-19 00:00:00,D,1389.992921875,Steam,2024-08-06,445.328221052,1151.577191666,573.9229167,
,,,,,2024-08-07,305.194083333,1155.900119791,572.271875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-20 00:00:00,D,1094.517819791,Steam,2024-08-08,348.873135416,1143.524929166,573.946875,
,,,,,2024-08-09,459.185395833,1124.244108333,582.9083333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-21 00:00:00,D,1226.791323958,Steam,2024-08-10,314.952312500,1033.576392708,576.9145833,
,,,,,2024-08-11,202.318037894,1034.097656842,582.0604167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-22 00:00:00,D,1463.203982291,Steam,2024-08-12,205.045950000,1196.662096875,603.1822917,
,,,,,2024-08-13,278.002635416,1146.620735416,580.7322917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-23 00:00:00,D,1387.945990625,Steam,2024-08-14,254.778025000,1115.542396875,577.96875,
PhysicalSciences.CW.FP/TONS,2024-04-24 00:00:00,D,68.684480000,Chilled Water,2024-08-15,271.988243750,1083.767828125,572.4114583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-24 00:00:00,D,1304.295438541,Steam,2024-08-16,282.186437500,1079.123969791,580.6864583,
PhysicalSciences.CW.FP/TONS,2024-04-25 00:00:00,D,66.382505208,Chilled Water,2024-08-17,362.246093750,953.997292708,565.371875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-25 00:00:00,D,1731.080625000,Steam,2024-08-18,395.548479166,984.139823958,550.8666667,
PhysicalSciences.CW.FP/TONS,2024-04-26 00:00:00,D,109.454339583,Chilled Water,2024-08-19,327.481284375,1110.476864583,551.8447917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-26 00:00:00,D,1661.825441666,Steam,2024-08-20,121.607016666,1283.697736458,561.034375,
PhysicalSciences.CW.FP/TONS,2024-04-27 00:00:00,D,83.388832978,Chilled Water,2024-08-21,118.001243750,1166.348563541,561.7885417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-27 00:00:00,D,1150.397620833,Steam,2024-08-22,177.110432291,1191.360571875,565.2552083,
PhysicalSciences.CW.FP/TONS,2024-04-28 00:00:00,D,163.527864210,Chilled Water,2024-08-23,182.077262765,1064.794416666,569.6979167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-28 00:00:00,D,1166.625394791,Steam,2024-08-24,206.140329032,1019.624318750,570.0989583,
PhysicalSciences.CW.FP/TONS,2024-04-29 00:00:00,D,311.225284210,Chilled Water,2024-08-25,255.509868750,986.486677083,582.2354167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-29 00:00:00,D,1296.638440625,Steam,2024-08-26,269.187862500,1083.888208333,601.1739583,
PhysicalSciences.CW.FP/TONS,2024-04-30 00:00:00,D,241.938796842,Chilled Water,2024-08-27,313.699782291,1081.468154166,595.30625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-04-30 00:00:00,D,1374.325430208,Steam,2024-08-28,484.271935416,1042.357584375,585.215625,
PhysicalSciences.CW.FP/TONS,2024-05-01 00:00:00,D,179.840148958,Chilled Water,2024-08-29,307.720473684,1126.959776041,586.3395833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-01 00:00:00,D,1267.993660416,Steam,2024-08-30,351.864156250,1126.568035416,586.1979167,
PhysicalSciences.CW.FP/TONS,2024-05-02 00:00:00,D,246.966990625,Chilled Water,2024-08-31,366.349885416,1097.934266666,575.3427083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-02 00:00:00,D,1390.243020833,Steam,2024-09-01,363.063625000,993.960313541,564.8302083,
PhysicalSciences.CW.FP/TONS,2024-05-03 00:00:00,D,205.025229473,Chilled Water,2024-09-02,173.357981250,1170.973476041,559.8697917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-03 00:00:00,D,1309.809748958,Steam,2024-09-03,146.536472916,1229.586426041,590.909375,
PhysicalSciences.CW.FP/TONS,2024-05-04 00:00:00,D,183.098553684,Chilled Water,2024-09-04,167.943763541,1115.775939583,597.1364583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-04 00:00:00,D,1206.386964583,Steam,2024-09-05,199.432704166,1109.323273958,566.2395833,
PhysicalSciences.CW.FP/TONS,2024-05-05 00:00:00,D,89.505425806,Chilled Water,2024-09-06,236.237422916,1085.991711458,578.1770833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-05 00:00:00,D,1193.364584375,Steam,2024-09-07,194.632157291,1049.569587500,578.465625,
PhysicalSciences.CW.FP/TONS,2024-05-06 00:00:00,D,191.934552083,Chilled Water,2024-09-08,115.779362500,1116.599218750,588.6791667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-06 00:00:00,D,1400.629479166,Steam,2024-09-09,156.090563440,1184.638113541,599.34375,
PhysicalSciences.CW.FP/TONS,2024-05-07 00:00:00,D,188.837592708,Chilled Water,2024-09-10,183.174933333,1248.708781250,599.8645833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-07 00:00:00,D,1410.123886458,Steam,2024-09-11,181.643307291,1167.399397916,574.7479167,
PhysicalSciences.CW.FP/TONS,2024-05-08 00:00:00,D,271.288115625,Chilled Water,2024-09-12,241.552648958,1159.134323958,562.86875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-08 00:00:00,D,1249.752703125,Steam,2024-09-13,269.789381250,1116.526587500,583.8822917,
PhysicalSciences.CW.FP/TONS,2024-05-09 00:00:00,D,115.447257291,Chilled Water,2024-09-14,271.244356250,1029.046667708,571.096875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-09 00:00:00,D,1387.208292708,Steam,2024-09-15,274.262050000,984.494151041,545.359375,
PhysicalSciences.CW.FP/TONS,2024-05-10 00:00:00,D,79.731682105,Chilled Water,2024-09-16,302.034281250,1147.731833333,554.9166667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-10 00:00:00,D,1325.330116666,Steam,2024-09-17,238.335289583,1226.768090625,573.275,
PhysicalSciences.CW.FP/TONS,2024-05-11 00:00:00,D,104.388917708,Chilled Water,2024-09-18,224.906579166,1198.750079166,577.709375,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-11 00:00:00,D,1174.578620833,Steam,2024-09-19,279.974566315,1256.642836458,581.7614583,
PhysicalSciences.CW.FP/TONS,2024-05-12 00:00:00,D,89.775988421,Chilled Water,2024-09-20,290.059980208,1148.456314583,596.4270833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-12 00:00:00,D,1211.112952083,Steam,2024-09-21,274.980270833,992.915420833,588.5864583,
PhysicalSciences.CW.FP/TONS,2024-05-13 00:00:00,D,137.237510416,Chilled Water,2024-09-22,261.858718750,1008.526039583,602.3729167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-13 00:00:00,D,1377.313389583,Steam,2024-09-23,187.645240625,1238.358410416,613.9916667,
PhysicalSciences.CW.FP/TONS,2024-05-14 00:00:00,D,265.551250000,Chilled Water,2024-09-24,137.450910416,1428.014593750,582.7958333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-14 00:00:00,D,1389.806379166,Steam,2024-09-25,178.942076041,1360.767773958,584.4739583,
PhysicalSciences.CW.FP/TONS,2024-05-15 00:00:00,D,223.966687500,Chilled Water,2024-09-26,318.417166666,1349.748410416,591.5739583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-15 00:00:00,D,1319.680321875,Steam,2024-09-27,235.445250000,1241.840651041,607.6166667,
PhysicalSciences.CW.FP/TONS,2024-05-16 00:00:00,D,253.983910416,Chilled Water,2024-09-28,257.927510416,1119.428971875,590.6802083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-16 00:00:00,D,1379.299732291,Steam,2024-09-29,243.778895833,1145.822654166,566.43125,
PhysicalSciences.CW.FP/TONS,2024-05-17 00:00:00,D,244.171382291,Chilled Water,2024-09-30,261.528552083,1281.082103125,577.75,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-17 00:00:00,D,1308.432692708,Steam,2024-10-01,226.328800000,1302.034767708,585.534375,
PhysicalSciences.CW.FP/TONS,2024-05-18 00:00:00,D,239.978666666,Chilled Water,2024-10-02,157.581284375,1323.031064583,610.34375,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-18 00:00:00,D,1160.781319791,Steam,2024-10-03,153.561243750,1298.146053125,609.459375,
PhysicalSciences.CW.FP/TONS,2024-05-19 00:00:00,D,277.688416666,Chilled Water,2024-10-04,176.810181250,1162.313136458,614.6854167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-19 00:00:00,D,1126.880621875,Steam,2024-10-05,137.030195833,1035.554069791,590.215625,
PhysicalSciences.CW.FP/TONS,2024-05-20 00:00:00,D,307.403608333,Chilled Water,2024-10-06,140.953542708,1058.305972916,615.1322917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-20 00:00:00,D,1255.082887500,Steam,2024-10-07,147.353809375,1302.421569791,633.4208333,
PhysicalSciences.CW.FP/TONS,2024-05-21 00:00:00,D,410.556223404,Chilled Water,2024-10-08,105.513779166,1400.887250000,620.2813172,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-21 00:00:00,D,1291.591985416,Steam,2024-10-09,95.852078125,1346.075726041,576.5614583,
PhysicalSciences.CW.FP/TONS,2024-05-22 00:00:00,D,391.866451612,Chilled Water,2024-10-10,78.838156250,1459.820072916,586.3270833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-22 00:00:00,D,1177.993901041,Steam,2024-10-11,124.725430208,1352.544545833,584.2708333,
PhysicalSciences.CW.FP/TONS,2024-05-23 00:00:00,D,337.038291666,Chilled Water,2024-10-12,141.698588541,1138.265162500,563.1385417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-23 00:00:00,D,1299.228958947,Steam,2024-10-13,76.349203125,1195.265662500,578.5177083,
PhysicalSciences.CW.FP/TONS,2024-05-24 00:00:00,D,241.227193750,Chilled Water,2024-10-14,77.143961956,1441.443989583,573.3989583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-24 00:00:00,D,1153.354090625,Steam,2024-10-15,76.381809375,1475.055697916,588.5979167,
PhysicalSciences.CW.FP/TONS,2024-05-25 00:00:00,D,214.807952083,Chilled Water,2024-10-16,78.465166666,1477.562041666,599.9458333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-25 00:00:00,D,1021.180448958,Steam,2024-10-17,82.534812500,1480.467916666,598.746875,
PhysicalSciences.CW.FP/TONS,2024-05-26 00:00:00,D,259.502612500,Chilled Water,2024-10-18,104.250623157,1409.872264583,601.1354167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-26 00:00:00,D,1088.666396875,Steam,2024-10-19,116.492600000,1243.919673958,604.8614583,
PhysicalSciences.CW.FP/TONS,2024-05-27 00:00:00,D,369.118958333,Chilled Water,2024-10-20,133.361159574,1177.866197916,620.834375,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-27 00:00:00,D,1156.670444791,Steam,2024-10-21,185.763572916,1200.145133333,626.084375,
PhysicalSciences.CW.FP/TONS,2024-05-28 00:00:00,D,204.178835416,Chilled Water,2024-10-22,222.888566666,1244.503018750,612.1666667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-28 00:00:00,D,458.130076041,Steam,2024-10-23,241.093493750,1227.532163541,561.6854167,
PhysicalSciences.CW.FP/TONS,2024-05-29 00:00:00,D,102.064607526,Chilled Water,2024-10-24,96.554335416,1293.455920833,576.4712766,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-29 00:00:00,D,0.000000000,Steam,2024-10-25,97.826737500,1400.487286458,600.7083333,
PhysicalSciences.CW.FP/TONS,2024-05-30 00:00:00,D,80.556505376,Chilled Water,2024-10-26,79.844804166,1086.081093750,580.5802083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-30 00:00:00,D,0.000000000,Steam,2024-10-27,75.125179166,1169.583136458,601.70625,
PhysicalSciences.CW.FP/TONS,2024-05-31 00:00:00,D,141.491322916,Chilled Water,2024-10-28,88.861280208,1327.771292708,592.4208333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-05-31 00:00:00,D,1427.319073958,Steam,2024-10-29,82.059416666,1373.822583333,605.621875,
PhysicalSciences.CW.FP/TONS,2024-06-01 00:00:00,D,194.078428125,Chilled Water,2024-10-30,192.905854166,1281.563908333,596.2114583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-01 00:00:00,D,1198.380476041,Steam,2024-10-31,239.447988541,1271.198984375,585.075,
PhysicalSciences.CW.FP/TONS,2024-06-02 00:00:00,D,238.898358695,Chilled Water,2024-11-01,186.423783333,1263.106315625,532.1833333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-02 00:00:00,D,1165.580034375,Steam,2024-11-02,77.071080208,1152.720891666,529.8229167,
PhysicalSciences.CW.FP/TONS,2024-06-03 00:00:00,D,284.701854166,Chilled Water,2024-11-03,69.102919791,1453.558569791,534.140625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-03 00:00:00,D,1215.065816666,Steam,2024-11-04,80.391253125,1336.599955208,546.1145833,
PhysicalSciences.CW.FP/TONS,2024-06-04 00:00:00,D,324.520802083,Chilled Water,2024-11-05,171.448578125,1293.545710416,538.6979167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-04 00:00:00,D,1129.856691666,Steam,2024-11-06,244.178452631,1227.146868750,523.128125,
PhysicalSciences.CW.FP/TONS,2024-06-05 00:00:00,D,398.546458333,Chilled Water,2024-11-07,100.400953125,1362.998643750,525.184375,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-05 00:00:00,D,1081.488327083,Steam,2024-11-08,70.131402083,1286.166416666,531.2885417,
PhysicalSciences.CW.FP/TONS,2024-06-06 00:00:00,D,440.813145833,Chilled Water,2024-11-09,61.267533333,1232.701077083,510.6510417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-06 00:00:00,D,1142.099107291,Steam,2024-11-10,66.143635416,1238.300035416,490.7177083,
PhysicalSciences.CW.FP/TONS,2024-06-07 00:00:00,D,207.183677083,Chilled Water,2024-11-11,60.946647916,1165.744352083,496.053125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-07 00:00:00,D,1233.524612500,Steam,2024-11-12,61.502172916,1460.559742708,515.078125,
PhysicalSciences.CW.FP/TONS,2024-06-08 00:00:00,D,173.580592708,Chilled Water,2024-11-13,68.318513333,1788.581250000,523.78125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-08 00:00:00,D,1127.536013541,Steam,2024-11-14,75.814922916,1610.751564583,539.5114583,
PhysicalSciences.CW.FP/TONS,2024-06-09 00:00:00,D,133.583146875,Chilled Water,2024-11-15,74.209093750,1372.107637500,532.9166667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-09 00:00:00,D,1096.339934375,Steam,2024-11-16,82.476898958,1040.340601041,540.1072917,
PhysicalSciences.CW.FP/TONS,2024-06-10 00:00:00,D,112.661071578,Chilled Water,2024-11-17,82.089828125,1227.345596875,545.58125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-10 00:00:00,D,1249.565006250,Steam,2024-11-18,89.818953125,1349.357876041,553.278125,
PhysicalSciences.CW.FP/TONS,2024-06-11 00:00:00,D,112.749344791,Chilled Water,2024-11-19,84.532585416,1422.036822916,542.3875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-11 00:00:00,D,1201.281969791,Steam,2024-11-20,83.796505208,1226.529550000,533.7635417,
PhysicalSciences.CW.FP/TONS,2024-06-12 00:00:00,D,175.503392708,Chilled Water,2024-11-21,85.491585416,1464.515034375,541.875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-12 00:00:00,D,1192.412769791,Steam,2024-11-22,78.610141935,1716.614821052,544.3163564,
PhysicalSciences.CW.FP/TONS,2024-06-13 00:00:00,D,251.334015625,Chilled Water,2024-11-23,69.478075000,1507.149135416,526.4989583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-13 00:00:00,D,1113.784934375,Steam,2024-11-24,69.591769791,1336.079005208,515.2979167,
PhysicalSciences.CW.FP/TONS,2024-06-14 00:00:00,D,317.634157894,Chilled Water,2024-11-25,74.530532291,1668.512218750,529.1541667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-14 00:00:00,D,1055.995223958,Steam,2024-11-26,69.956554166,1503.748410416,540.6927083,
PhysicalSciences.CW.FP/TONS,2024-06-15 00:00:00,D,200.145902083,Chilled Water,2024-11-27,73.549910416,1632.164750000,543.5395833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-15 00:00:00,D,1031.261872916,Steam,2024-11-28,73.939279166,1864.620729166,540.4802083,
PhysicalSciences.CW.FP/TONS,2024-06-16 00:00:00,D,187.342561458,Chilled Water,2024-11-29,68.147777083,1948.126822916,540.8260417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-16 00:00:00,D,996.727626041,Steam,2024-11-30,71.986497916,2235.588760416,537.24375,
PhysicalSciences.CW.FP/TONS,2024-06-17 00:00:00,D,345.047625000,Chilled Water,2024-12-01,71.528036458,2439.541406250,532.4958333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-17 00:00:00,D,1052.135171875,Steam,2024-12-02,72.072031250,2525.688802083,543.2135417,
PhysicalSciences.CW.FP/TONS,2024-06-18 00:00:00,D,516.196921348,Chilled Water,2024-12-03,72.914518750,2499.193145833,540.5239583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-18 00:00:00,D,1021.462425000,Steam,2024-12-04,69.692911702,2626.151020833,531.2583334,
PhysicalSciences.CW.FP/TONS,2024-06-19 00:00:00,D,543.406610526,Chilled Water,2024-12-05,70.511304166,2468.264770833,525.928125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-19 00:00:00,D,868.948065625,Steam,2024-12-06,75.713514893,2821.970791666,538.6760417,
PhysicalSciences.CW.FP/TONS,2024-06-20 00:00:00,D,558.696885416,Chilled Water,2024-12-07,77.289071875,2451.563114583,521.5041667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-20 00:00:00,D,964.074650000,Steam,2024-12-08,76.267418279,1722.828532978,520.0589096,
PhysicalSciences.CW.FP/TONS,2024-06-21 00:00:00,D,538.492434782,Chilled Water,2024-12-09,75.042121052,1666.859510416,529.746875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-21 00:00:00,D,971.308657291,Steam,2024-12-10,72.562902127,1354.801679166,541.9895834,
PhysicalSciences.CW.FP/TONS,2024-06-22 00:00:00,D,482.186666666,Chilled Water,2024-12-11,73.841857291,1441.306555208,550.4708334,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-22 00:00:00,D,906.666756250,Steam,2024-12-12,76.880190625,2589.392687500,546.3145834,
PhysicalSciences.CW.FP/TONS,2024-06-23 00:00:00,D,475.948366666,Chilled Water,2024-12-13,79.786619780,3100.594645833,542.2645834,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-23 00:00:00,D,897.402298958,Steam,2024-12-14,69.254298958,2951.227750000,504.7760417,
PhysicalSciences.CW.FP/TONS,2024-06-24 00:00:00,D,261.760500000,Chilled Water,2024-12-15,65.712535416,2464.074625000,502.0104167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-24 00:00:00,D,1088.549527083,Steam,2024-12-16,67.275344791,1921.359552083,476.7041667,
PhysicalSciences.CW.FP/TONS,2024-06-25 00:00:00,D,260.759584375,Chilled Water,2024-12-17,68.926830208,1554.764385416,453.5916667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-25 00:00:00,D,1084.535866666,Steam,2024-12-18,70.335839583,1693.396041666,459.9864584,
PhysicalSciences.CW.FP/TONS,2024-06-26 00:00:00,D,350.462545833,Chilled Water,2024-12-19,73.941290625,2070.457177083,460.8395834,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-26 00:00:00,D,1011.200181250,Steam,2024-12-20,68.366146875,2339.013260416,481.065625,
PhysicalSciences.CW.FP/TONS,2024-06-27 00:00:00,D,235.548584375,Chilled Water,2024-12-21,67.692898958,2844.783614583,501.7677084,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-27 00:00:00,D,1176.624230208,Steam,2024-12-22,68.457057291,3726.816354166,518.6604167,
PhysicalSciences.CW.FP/TONS,2024-06-28 00:00:00,D,182.223267708,Chilled Water,2024-12-23,69.363675000,3932.402729166,523.871875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-28 00:00:00,D,1166.242210416,Steam,2024-12-24,78.158480208,2529.984645833,531.7010417,
PhysicalSciences.CW.FP/TONS,2024-06-29 00:00:00,D,324.906656250,Chilled Water,2024-12-25,76.382613541,2461.537156250,536.340625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-29 00:00:00,D,1084.183555208,Steam,2024-12-26,77.852507291,2864.000625000,524.8604167,
PhysicalSciences.CW.FP/TONS,2024-06-30 00:00:00,D,428.582968750,Chilled Water,2024-12-27,76.838954166,2633.734729166,536.4291667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-06-30 00:00:00,D,1036.068181250,Steam,2024-12-28,77.034769791,1560.407110416,536.075,
PhysicalSciences.CW.FP/TONS,2024-07-01 00:00:00,D,166.664738541,Chilled Water,2024-12-29,90.655879166,1373.702002083,516.6104167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-07-01 00:00:00,D,1203.490954166,Steam,2024-12-30,91.380756250,1471.284468750,516.7864584,
PhysicalSciences.CW.FP/TONS,2024-07-02 00:00:00,D,208.290362105,Chilled Water,2024-12-31,75.169823958,1586.221302083,510.9854167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-07-02 00:00:00,D,1103.542534375,Steam,2025-01-01,75.487731250,1671.964937500,509.021875,
PhysicalSciences.CW.FP/TONS,2024-07-03 00:00:00,D,317.531406250,Chilled Water,,,,,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-07-03 00:00:00,D,1088.826858333,Steam,,,,,
PhysicalSciences.CW.FP/TONS,2024-07-04 00:00:00,D,452.081400000,Chilled Water,,,,,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-07-04 00:00:00,D,1066.554460416,Steam,,,,,
PhysicalSciences.CW.FP/TONS,2024-07-05 00:00:00,D,525.335427083,Chilled Water,,,,,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-07-05 00:00:00,D,1081.110076041,Steam,,,,,
PhysicalSciences.CW.FP/TONS,2024-07-06 00:00:00,D,484.769052083,Chilled Water,,,,,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-07-06 00:00:00,D,958.106228125,Steam,,,,,
