name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Hot Water (kBTU/hr),Electric (kW),Solar (kW)
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-09 00:00:00,D,0.029042395,Electric Solar submeter,2024-02-02,4.533100937,50.332788541,65.845353958,8.800532083
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-10 00:00:00,D,4.372893020,Chilled Water,2024-02-03,4.454093020,54.020732395,53.390587708,23.168802604
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-10 00:00:00,D,35.833618125,Hot Water Building Heat,2024-02-04,4.714427604,50.353476354,45.758368645,37.506619791
HuShihHall.Elec.PowerScout3HD/kW,2024-01-10 00:00:00,D,41.252013750,Electric,2024-02-05,4.345457604,49.169261979,44.930589270,30.171436875
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-10 00:00:00,D,8.603532708,Electric Solar submeter,2024-02-06,4.548154062,52.566302500,33.132253229,41.840126562
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-11 00:00:00,D,4.219356354,Chilled Water,2024-02-07,4.118374270,49.878931562,45.061829270,29.563678333
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-11 00:00:00,D,42.492897916,Hot Water Building Heat,2024-02-08,4.406313958,41.174507500,38.396017395,31.631776562
HuShihHall.Elec.PowerScout3HD/kW,2024-01-11 00:00:00,D,40.332536458,Electric,2024-02-09,5.473911666,32.378661562,39.455957500,31.691418854
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-11 00:00:00,D,7.717053333,Electric Solar submeter,2024-02-10,5.362177395,29.153888750,58.497863125,12.986943541
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-12 00:00:00,D,4.197162708,Chilled Water,2024-02-11,4.590085833,41.180722812,66.712645520,10.565290729
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-12 00:00:00,D,39.018122187,Hot Water Building Heat,2024-02-12,4.264116562,47.230265312,66.294313645,10.514371041
HuShihHall.Elec.PowerScout3HD/kW,2024-01-12 00:00:00,D,28.016960729,Electric,2024-02-13,3.984395729,49.778876354,54.615310833,19.248311354
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-12 00:00:00,D,20.970640937,Electric Solar submeter,2024-02-14,3.937629583,62.580300937,40.523671666,31.093785416
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-13 00:00:00,D,3.832416875,Chilled Water,2024-02-15,3.793906250,58.126262291,46.110701666,23.043458437
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-13 00:00:00,D,37.181005208,Hot Water Building Heat,2024-02-16,4.101818020,55.320640520,55.866618229,22.863412916
HuShihHall.Elec.PowerScout3HD/kW,2024-01-13 00:00:00,D,35.587889895,Electric,2024-02-17,3.798748437,56.070951979,78.263462812,1.345221458
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-13 00:00:00,D,15.396398333,Electric Solar submeter,2024-02-18,3.749348333,63.580878229,75.118780000,0.684928437
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-14 00:00:00,D,3.876344791,Chilled Water,2024-02-19,3.749325520,56.144755729,69.089845833,6.337017187
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-14 00:00:00,D,49.033992187,Hot Water Building Heat,2024-02-20,3.063424791,58.336717708,50.761140104,20.073239375
HuShihHall.Elec.PowerScout3HD/kW,2024-01-14 00:00:00,D,44.125810104,Electric,2024-02-21,4.818597291,49.021635208,22.877731354,48.868935937
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-14 00:00:00,D,6.388873125,Electric Solar submeter,2024-02-22,4.580308020,50.569854270,66.636150416,5.399668437
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-15 00:00:00,D,3.300157083,Chilled Water,2024-02-23,4.843739791,39.921851875,34.359989062,41.058138333
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-15 00:00:00,D,57.536164375,Hot Water Building Heat,2024-02-24,2.747340937,53.801426666,36.257059166,44.557358958
