name,slottime_GMT,slottype,slotavg,pointTitle,Date,Electric (kW),Steam (lbs/hr)
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-22 00:00:00,D,64.848958333,,2024-02-11,70.230208333,23.525259895
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-22 00:00:00,D,986.948119791,Steam,2024-02-12,66.098958333,41.803952708
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-23 00:00:00,D,65.030208333,,2024-02-13,65.623958333,52.421386250
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-23 00:00:00,D,636.053832604,Steam,2024-02-14,63.676041666,353.207741250
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-24 00:00:00,D,66.685416666,,2024-02-15,63.693750000,848.145893958
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-24 00:00:00,D,52.762787291,Steam,2024-02-16,65.815625000,72.804226666
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-25 00:00:00,D,66.536458333,,2024-02-17,67.959375000,77.695601666
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-25 00:00:00,D,28.691023854,Steam,2024-02-18,66.754166666,216.615908750
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-26 00:00:00,D,66.551041666,,2024-02-19,65.880208333,115.100976875
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-26 00:00:00,D,31.457017812,Steam,2024-02-20,67.051041666,530.330960625
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-27 00:00:00,D,66.403125000,,2024-02-21,66.441666666,75.746659479
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-27 00:00:00,D,31.790304583,Steam,2024-02-22,66.168750000,44.495171354
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-28 00:00:00,D,67.812500000,,2024-02-23,68.251041666,38.556671666
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-28 00:00:00,D,28.977520937,Steam,2024-02-24,61.228125000,157.403663020
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-29 00:00:00,D,66.352083333,,2024-02-25,58.762500000,442.816740625
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-29 00:00:00,D,46.465120416,Steam,2024-02-26,61.208333333,10.177835625
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-30 00:00:00,D,65.422916666,,2024-02-27,60.543750000,8.177757395
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-30 00:00:00,D,73.097275833,Steam,2024-02-28,63.332291666,145.816821875
CascadillaHall.Elec.PowerScout3/kWsystem,2024-01-31 00:00:00,D,66.190625000,,2024-02-29,66.385416666,81.953203645
CascadillaHall.STM.M22-V/AverageMassFlow,2024-01-31 00:00:00,D,47.472561145,Steam,2024-03-01,66.101041666,411.442200729
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-01 00:00:00,D,65.276041666,,2024-03-02,68.911458333,21.036407291
